,price,brand,model,year,mileage,color,state
242,2900,ford,cargo,2011,190994,white,florida
243,43500,chevrolet,2500,2018,56007,white,georgia
244,4450,ford,mpv,2016,32486,white,texas
245,5800,ford,door,2011,195908,white,florida
246,16500,chevrolet,equinox,2018,18020,silver,georgia
247,4240,dodge,mpv,2016,83262,white,texas
248,26500,ford,pickup,2008,62015,white,pennsylvania
249,13700,chevrolet,equinox,2017,36421,silver,georgia
250,8600,ford,door,2016,73321,white,texas
251,8000,ford,chassis,2008,132379,white,florida
252,14200,chevrolet,equinox,2017,28013,silver,georgia
253,7040,ford,mpv,2016,33291,silver,texas
254,4700,ford,chassis,2005,225236,no_color,florida
255,30851,chevrolet,door,2016,43176,red,georgia
256,4880,ford,mpv,2016,36876,silver,texas
257,14500,dodge,pickup,2006,111782,silver,pennsylvania
258,7600,chevrolet,door,2017,110489,brown,nebraska
259,13270,ford,door,2016,84035,white,texas
260,12800,ford,door,2012,131101,gray,arizona
261,33000,chevrolet,1500,2018,52521,white,ontario
262,9280,ford,door,2016,101380,white,texas
263,900,ford,van,2003,142027,white,florida
264,7560,ford,door,2016,111476,gray,texas
265,19500,ford,drw,2011,76897,white,pennsylvania
266,17100,chevrolet,malibu,2019,15780,white,washington
267,8020,ford,door,2016,31944,white,texas
268,10300,ford,fiesta,2019,18937,black,missouri
269,22600,chevrolet,van,2019,9706,white,washington
270,10480,ford,doors,2016,57289,gray,texas
271,10300,ford,fiesta,2019,19956,silver,missouri
272,22700,chevrolet,van,2019,6075,white,washington
273,7410,ford,door,2016,21034,gray,texas
274,10300,ford,fiesta,2019,22881,gray,missouri
275,10300,chevrolet,door,2013,167600,gray,washington
276,7570,ford,door,2016,37252,white,texas
277,67000,dodge,challenger,2019,10944,blue,ohio
278,18900,chevrolet,impala,2019,27601,white,texas
279,12560,ford,doors,2019,15958,white,florida
280,33000,dodge,durango,2019,32251,white,ohio
281,18300,chevrolet,impala,2019,25809,black,texas
282,11760,ford,cab,2017,30553,white,texas
283,31700,dodge,durango,2019,26549,red,ohio
284,25,dodge,door,2007,160528,dark blue,minnesota
285,0,ford,door,2000,124969,black,oklahoma
286,7340,ford,doors,2019,15854,gray,florida
287,8200,hyundai,door,2017,56690,white,connecticut
288,3000,kia,door,2013,97142,silver,missouri
289,6530,jeep,mpv,2019,10185,black,georgia
290,0,mazda,door,2009,117541,gray,indiana
291,12700,kia,soul,2019,23514,silver,california
292,13800,kia,sorento,2017,86959,gray,north carolina
293,0,chevrolet,pickup,1998,258631,gray,texas
294,725,ford,door,2017,67279,gray,virginia
295,7400,ford,doors,2019,16482,gray,florida
296,9800,hyundai,elantra,2017,35687,red,connecticut
297,0,honda,door,2003,152608,white,arkansas
298,4400,jeep,mpv,2019,17911,green,georgia
299,10330,infiniti,mpv,2019,21278,blue,florida
300,1800,chevrolet,door,2011,47269,black,arkansas
301,50,chevrolet,door,2008,172102,blue,texas
302,720,ford,wagon,2006,26914,no_color,florida
303,22800,ford,door,2017,67217,red,michigan
304,2500,ford,door,2017,78698,black,california
305,0,ford,door,2003,246065,gold,kansas
306,9190,gmc,mpv,2017,41961,black,virginia
307,10900,jeep,mpv,2019,13273,red,michigan
308,10400,infiniti,mpv,2019,31713,black,florida
309,0,chevrolet,door,2004,0,maroon,wyoming
310,0,chevrolet,door,2003,194673,gray,texas
311,7320,chevrolet,pickup,2008,325611,silver,florida
312,22809,ford,f-150,2017,50732,black,michigan
313,0,ford,van,1998,186855,blue,california
314,0,ford,door,2013,94004,black,minnesota
315,5520,gmc,mpv,2017,52904,silver,virginia
316,10900,jeep,mpv,2019,14195,orange,michigan
317,6330,jeep,mpv,2019,43965,red,florida
318,0,chevrolet,door,2009,117059,black,colorado
319,25,chevrolet,pickup,2010,149189,white,colorado
320,2320,dodge,door,2007,112182,red,florida
321,23702,ford,door,2017,49024,black,michigan
322,0,ford,chassis,1994,0,green,california
323,0,ford,door,1997,203297,green,minnesota
324,5520,gmc,mpv,2017,35821,silver,virginia
325,4050,heartland,pioneer,2018,1,gray,pennsylvania
326,14810,infiniti,mpv,2019,32611,brown,florida
327,25,chevrolet,door,2011,105244,white,colorado
328,2960,chrysler,van,2008,164048,red,florida
329,24800,ford,door,2017,46955,gray,michigan
330,0,ford,door,1996,296860,green,california
331,0,ford,door,2006,203158,red,illinois
332,6270,gmc,mpv,2017,70443,black,virginia
333,1880,heartland,trail,2012,1,white,pennsylvania
334,10050,infiniti,mpv,2019,18229,gray,florida
335,225,chevrolet,door,2014,87673,red,colorado
336,26900,chevrolet,traverse,2018,42941,black,missouri
337,1420,chrysler,door,2007,104405,gold,florida
338,27003,ford,door,2017,57186,black,michigan
339,0,ford,door,2002,214800,black,south carolina
340,350,ford,door,2004,236980,gray,illinois
341,5600,gmc,mpv,2017,59808,black,virginia
342,6680,heartland,country,2011,1,gray,pennsylvania
343,10120,infiniti,mpv,2019,20681,white,florida
344,0,chevrolet,door,2010,137422,red,colorado
345,3920,ford,door,2015,102700,white,georgia
346,23100,ford,door,2017,53270,black,michigan
347,0,gmc,door,2004,235348,gold,south carolina
348,5630,gmc,mpv,2017,27195,black,virginia
349,0,heartland,sundance,2009,1,white,pennsylvania
350,2800,jaguar,doors,2019,20849,black,florida
351,0,chevrolet,door,2008,159266,gray,california
352,8850,ford,door,2015,143818,black,georgia
353,18712,ford,f-150,2017,67347,black,michigan
354,0,ford,pickup,2009,180364,blue,tennessee
355,0,ford,door,2009,184889,black,illinois
356,6300,gmc,mpv,2017,117400,blue,virginia
357,2220,heartland,country,2010,1,white,pennsylvania
358,6930,jeep,mpv,2019,47798,red,florida
359,25,chevrolet,door,2008,130623,white,california
360,3440,ford,door,2015,124542,white,georgia
361,50412,ford,door,2017,47129,black,michigan
362,25,ford,pickup,1994,206162,white,georgia
363,950,ford,pk,2001,229886,red,illinois
364,9270,gmc,mpv,2017,19490,gray,virginia
365,11380,jeep,mpv,2019,12038,black,michigan
366,5350,hyundai,mpv,2019,43536,blue,florida
367,2725,chevrolet,door,2004,308451,black,south carolina
368,3790,ford,door,2015,100893,gray,georgia
369,40514,ford,door,2017,90304,white,michigan
370,0,ford,door,1997,146912,green,wisconsin
371,0,ford,door,1998,131367,white,illinois
372,9190,gmc,mpv,2017,31394,gray,virginia
373,10330,infiniti,mpv,2019,25933,gray,florida
374,1000,acura,door,2008,118250,gray,michigan
375,2925,bmw,door,2013,46060,white,florida
376,3830,ford,door,2015,50593,gold,georgia
377,43402,ford,door,2017,62387,blue,michigan
378,1025,gmc,door,2009,169634,black,michigan
379,17200,honda,van,2016,72527,gray,new jersey
380,54680,harley-davidson,road/street,2016,9502,black,virginia
381,6940,honda,door,2010,217290,no_color,pennsylvania
382,13080,infiniti,mpv,2019,17243,gray,florida
383,25,chevrolet,door,2007,194903,gray,virginia
384,10630,ford,door,2015,82899,white,georgia
385,43009,ford,door,2017,76418,white,michigan
386,25,gmc,door,2003,138441,white,michigan
387,4600,ford,pickup,2006,240740,brown,mississippi
388,4950,honda,mpv,2016,71404,black,virginia
389,3760,hyundai,doors,2019,30382,silver,florida
390,3900,acura,door,2009,179389,black,texas
391,0,cadillac,coupe,2000,105169,white,virginia
392,3830,ford,door,2015,82534,silver,georgia
393,53500,ford,door,2017,55732,white,michigan
394,25,ford,door,2010,198596,gray,michigan
395,25,ford,door,1998,300021,brown,arkansas
396,6240,honda,door,2015,83623,silver,virginia
397,4150,jeep,door,2014,108895,white,new york
398,25,jeep,door,1999,226972,black,florida
399,61200,bmw,series,2020,7509,black,california
400,0,buick,door,2006,137464,blue,virginia
401,13500,bmw,series,2014,33542,blue,new jersey
402,6490,ford,door,2015,74754,black,georgia
403,51502,ford,door,2017,27661,black,michigan
404,250,ford,door,2010,115241,white,michigan
405,25,ford,door,1984,41577,white,arkansas
406,8160,honda,van,2015,109027,gray,virginia
407,7770,jeep,door,2014,72732,gray,new york
408,200,jeep,door,2001,126400,green,maryland
409,25,audi,door,2008,177422,black,texas
410,0,chevrolet,door,1995,274706,green,arizona
411,1825,bmw,coupe,2008,77984,white,georgia
412,39800,bmw,series,2017,23177,blue,california
413,9210,ford,door,2015,26911,silver,georgia
414,58500,ford,srw,2019,21527,blue,washington
415,125,ford,door,2014,56461,silver,michigan
416,3960,honda,door,2015,95128,white,virginia
417,5998,hyundai,doors,2014,122975,phantom black,new york
418,3700,honda,doors,2014,162824,blue,new york
419,0,kia,wagon,2008,148463,silver,indiana
420,0,audi,door,2005,181896,black,california
421,0,bmw,door,2000,216657,gray,utah
422,5000,gmc,door,2012,140339,black,utah
423,15050,infiniti,mpv,2019,26786,white,texas
424,3960,hyundai,doors,2019,35623,red,ohio
425,36300,lincoln,nautilus,2019,14541,black,california
426,55600,lexus,gx,2020,8186,silver,florida
427,2630,nissan,doors,2018,36739,gray,california
428,5690,nissan,mpv,2017,42616,blue,new jersey
429,19500,audi,q5,2017,65833,blue,texas
430,450,chevrolet,coupe,2008,123515,yellow,minnesota
431,20400,cadillac,door,2015,36122,white,wisconsin
432,4320,chevrolet,door,2011,88359,brown,florida
433,33001,ford,f-150,2017,35905,gray,michigan
434,10000,ford,door,2017,35747,red,arkansas
435,0,ford,door,2004,167011,red,maryland
436,5790,gmc,door,2012,105020,white,utah
437,14750,infiniti,mpv,2019,11047,black,texas
438,4010,hyundai,doors,2019,31233,silver,ohio
439,40000,mercedes-benz,gle,2019,19427,white,california
440,13000,kia,sportage,2017,71991,silver,new jersey
441,3550,nissan,doors,2018,29043,blue,california
442,3040,nissan,doors,2017,36064,gray,new jersey
443,0,chevrolet,coupe,2008,270080,yellow,illinois
444,36400,audi,5,2015,47213,black,wisconsin
445,4480,ford,door,2011,116480,black,florida
446,31003,ford,door,2017,72084,red,michigan
447,75,ford,pickup,2001,295780,gold,arkansas
448,8850,gmc,door,2011,148035,white,utah
449,14750,infiniti,mpv,2019,11396,white,texas
450,4690,hyundai,mpv,2019,33785,silver,ohio
451,23000,land,sport,2018,20103,black,california
452,46900,land,discovery,2018,32387,black,florida
453,10740,mercedes-benz,doors,2018,48140,white,california
454,3160,nissan,doors,2017,34861,gray,new jersey
455,0,chevrolet,door,2006,268040,silver,texas
456,3450,chrysler,door,2011,114119,gold,florida
457,27102,ford,f-150,2017,34165,red,michigan
458,500,gmc,door,2018,27442,black,arkansas
459,5100,gmc,door,2011,144792,white,utah
460,15010,infiniti,mpv,2019,11394,beige,texas
461,5800,jeep,mpv,2019,30546,silver,ohio
462,23200,land,sport,2018,23745,black,california
463,8000,hyundai,door,2015,88274,red,pennsylvania
464,3390,nissan,doors,2018,38349,gray,california
465,3140,nissan,doors,2017,30142,white,new jersey
466,25,chevrolet,door,2007,267834,black,texas
467,15000,bmw,door,2014,44730,silver,illinois
468,10440,chevrolet,cab,2011,92476,blue,florida
469,23911,ford,f-150,2017,25698,black,michigan
470,25,ford,pk,2010,155242,gray,oklahoma
471,21400,gmc,acadia,2018,54332,gray,new jersey
472,5380,gmc,cab,2011,119215,white,utah
473,11000,jeep,mpv,2019,8930,red,michigan
474,4950,jeep,mpv,2019,46985,silver,ohio
475,22500,land,sport,2018,30220,black,california
476,30300,maserati,ghibli,2017,37021,black,florida
477,2630,nissan,doors,2018,43152,white,california
478,3140,nissan,doors,2017,34318,silver,new jersey
479,2300,chevrolet,door,2011,88287,white,arkansas
480,4310,chevrolet,door,2011,105486,black,florida
481,26012,ford,door,2017,19850,black,michigan
482,75,ford,door,2014,116535,silver,oklahoma
483,48500,gmc,1500,2019,15777,black,pennsylvania
484,3330,gmc,mpv,2009,87448,white,utah
485,11200,jeep,mpv,2019,8395,yellow,michigan
486,4730,hyundai,mpv,2019,30121,red,ohio
487,24900,mercedes-benz,glc,2018,33687,white,california
488,29400,mercedes-benz,e-class,2017,37561,blue,florida
489,8350,nissan,cab,2018,32256,gray,california
490,475,peterbilt,truck,2012,902041,gold,florida
491,3210,nissan,doors,2017,25255,black,new jersey
492,25,chevrolet,van,2006,165327,white,arkansas
493,4200,chevrolet,cutaway,2006,118009,white,wisconsin
494,8430,chevrolet,utility,2011,114547,black,florida
495,25503,ford,f-150,2017,18647,black,michigan
496,0,ford,pickup,1996,252588,red,oklahoma
497,26000,gmc,limited,2019,16669,black,pennsylvania
498,3900,honda,doors,2017,47970,blue,virginia
499,11200,jeep,mpv,2019,12905,gray,michigan
500,8610,jeep,mpv,2019,22123,silver,ohio
501,28000,mercedes-benz,gle,2018,40780,white,california
502,84900,mercedes-benz,sl-class,2017,25302,silver,florida
503,10840,lexus,mpv,2017,36596,black,california
504,100,peterbilt,truck,2012,0,blue,florida
505,11050,ram,door,2017,30421,white,new jersey
506,0,chevrolet,door,2012,134938,orange,oklahoma
507,1000,chevrolet,door,2005,135675,gray,wisconsin
508,3570,dodge,door,2015,17355,black,georgia
509,25001,ford,door,2017,27773,gray,michigan
510,0,ford,door,2010,86841,silver,oklahoma
511,5630,gmc,mpv,2017,58366,black,virginia
512,11100,jeep,mpv,2019,11229,white,michigan
513,4650,hyundai,mpv,2019,27492,white,ohio
514,0,lincoln,door,2005,89705,green,minnesota
515,3820,nissan,mpv,2016,41654,blue,california
516,0,peterbilt,truck,2009,982486,blue,florida
517,2900,nissan,doors,2017,31954,gray,new jersey
518,50,chevrolet,door,2008,172102,blue,texas
519,5100,chevrolet,pickup,2004,173321,gray,wisconsin
520,4700,dodge,door,2015,93423,red,georgia
521,29502,ford,f-150,2017,14053,red,michigan
522,0,ford,door,2008,145483,red,oklahoma
523,6160,honda,door,2017,25956,white,virginia
524,10910,jeep,mpv,2019,12253,red,michigan
525,3440,hyundai,doors,2019,34895,gray,ohio
526,16000,mazda,cx-3,2016,47753,gray,florida
527,3810,kia,door,2016,39408,black,california
528,1025,peterbilt,truck,2010,1017936,color:,georgia
529,3020,nissan,doors,2017,33599,white,new jersey
530,0,chevrolet,door,2003,194673,gray,texas
531,2000,chevrolet,pickup,2003,507985,red,wisconsin
532,3870,ford,door,2010,185983,white,florida
533,24811,ford,door,2017,28464,red,michigan
534,75,ford,door,2007,154989,blue,oklahoma
535,5420,honda,doors,2017,16702,black,virginia
536,11100,jeep,mpv,2019,11449,yellow,michigan
537,4750,hyundai,mpv,2019,25847,gray,ohio
538,17900,mercedes-benz,door,2015,49772,gray,florida
539,3800,nissan,door,2015,83915,black,california
540,3160,nissan,doors,2017,40306,silver,new jersey
541,25,chevrolet,pickup,2010,149189,white,colorado
542,1200,chevrolet,door,2001,149543,red,wisconsin
543,6470,chevrolet,coupe,2010,69622,yellow,florida
544,26400,ford,door,2017,36295,red,michigan
545,0,gmc,door,1993,0,light blue,colorado
546,32500,gmc,2500hd,2018,14856,blue,pennsylvania
547,6900,honda,mpv,2017,44129,brown,minnesota
548,11030,jeep,mpv,2019,10861,yellow,michigan
549,3460,hyundai,door,2012,142106,white,mississippi
550,18000,mercedes-benz,door,2015,82411,black,florida
551,3250,hyundai,door,2015,111612,gray,california
552,3210,nissan,doors,2017,35251,gray,new jersey
553,13200,chevrolet,door,2017,50408,black,pennsylvania
554,27705,ford,f-150,2019,15630,gray,michigan
555,7200,chevrolet,door,2017,53273,black,pennsylvania
556,28714,ford,f-150,2019,14786,white,michigan
557,11200,chevrolet,door,2017,85315,white,pennsylvania
558,27502,ford,f-150,2019,16146,gray,michigan
559,11900,chevrolet,door,2017,76211,blue,pennsylvania
560,29314,ford,f-150,2019,15265,gray,michigan
561,11200,chevrolet,door,2017,79965,silver,pennsylvania
562,27002,ford,f-150,2019,16059,gray,michigan
563,13200,chevrolet,door,2017,62739,black,pennsylvania
564,28214,ford,f-150,2019,15569,white,michigan
565,12700,chevrolet,door,2017,58932,black,pennsylvania
566,29900,ford,f-150,2019,17488,white,michigan
567,12700,chevrolet,door,2017,60733,black,pennsylvania
568,27202,ford,f-150,2019,18550,red,michigan
569,13500,chevrolet,impala,2018,53194,white,new jersey
570,27705,ford,f-150,2019,17644,silver,michigan
571,14700,chevrolet,van,2016,34454,white,pennsylvania
572,29900,ford,f-150,2019,17684,white,michigan
573,4500,chevrolet,door,2015,83279,gray,pennsylvania
